Gestor;IDRebaño;Especie;CEA;ID
1;1;1;39-015;C001
1;2;2;39-015;B001
1;3;2;39-015;B002
1;4;2;39-015;B003
2;5;2;39-013;B004
2;6;2;39-013;B005
3;7;1;39-037;C002
3;8;2;39-037;B006
3;9;2;39-037;B007
3;10;2;39-037;B008
4;11;2;39-003;B009
4;12;2;39-003;B010
4;13;2;39-003;B011
5;14;2;39-030;B012
5;15;2;39-030;B013
5;16;2;39-030;B014
6;17;2;39-019;B015
7;18;1;39-041;C003
7;19;2;39-041;B016
8;20;2;39-052;B017
9;21;1;39-053;C004
9;22;2;39-053;B018
10;23;1;39-061;C005
10;24;2;39-061;B019
11;25;2;39-074;B020
12;26;1;39-002;C006
13;27;1;39-113;C007
14;28;1;39-112;C008
15;29;1;39-114;C009
16;30;1;39-011;C010
17;31;1;39-016;C011
18;32;1;39-120;C012
19;33;1;39-116;C013
20;34;1;39-087;C014
21;35;1;39-117;C015
10;240;2;39-061;B019
