IDRebaño;Raza;Categoria;t;prgest
1;1;2;7;0.50
1;1;2;8;0.50
1;1;2;9;0.50
1;1;2;10;0.50
1;1;2;11;0.50
1;1;2;12;0.50
1;1;2;13;0.50
1;1;2;14;0.50
1;1;2;15;0.50
1;1;3;7;0.10
1;1;3;8;0.10
1;1;3;9;0.10
1;1;3;10;0.10
1;1;3;11;0.10
1;1;3;12;0.10
1;1;3;13;0.10
1;1;3;14;0.10
1;1;3;15;0.10
2;7;2;7;0.14
2;7;2;8;0.14
2;7;2;9;0.14
2;7;2;10;0.13
2;7;2;11;0.13
2;7;2;12;0.13
2;7;2;13;0.03
2;7;2;14;0.03
2;7;2;15;0.03
2;7;2;16;0.03
2;7;2;17;0.03
2;7;2;18;0.03
2;7;2;19;0.18
2;7;2;20;0.18
2;7;2;21;0.18
2;7;2;22;0.15
2;7;2;23;0.15
2;7;2;24;0.15
2;7;2;25;0.17
2;7;2;26;0.17
2;7;2;27;0.17
2;7;2;28;0.18
2;7;2;29;0.18
2;7;2;30;0.18
2;7;2;31;0.18
2;7;2;32;0.18
2;7;2;33;0.18
3;1;2;7;0.50
3;1;2;8;0.50
3;1;2;9;0.50
3;1;2;10;0.50
3;1;2;11;0.50
3;1;2;12;0.50
3;1;2;13;0.33
3;1;2;14;0.33
3;1;2;15;0.33
3;1;2;16;0.33
3;1;2;17;0.33
3;1;2;18;0.33
3;1;2;19;0.67
3;1;2;20;0.67
3;1;2;21;0.67
3;1;2;22;0.50
3;1;2;23;0.50
3;1;2;24;0.50
3;1;2;25;0.50
3;1;2;26;0.50
3;1;2;27;0.50
3;7;2;7;0.14
3;7;2;8;0.14
3;7;2;9;0.14
3;7;2;10;0.13
3;7;2;11;0.13
3;7;2;12;0.13
3;7;2;13;0.03
3;7;2;14;0.03
3;7;2;15;0.03
3;7;2;16;0.03
3;7;2;17;0.03
3;7;2;18;0.03
3;7;2;19;0.18
3;7;2;20;0.18
3;7;2;21;0.18
3;7;2;22;0.15
3;7;2;23;0.15
3;7;2;24;0.15
3;7;2;25;0.17
3;7;2;26;0.17
3;7;2;27;0.17
3;7;2;28;0.18
3;7;2;29;0.18
3;7;2;30;0.18
3;7;2;31;0.18
3;7;2;32;0.18
3;7;2;33;0.18
4;7;2;7;0.14
4;7;2;8;0.14
4;7;2;9;0.14
4;7;2;10;0.13
4;7;2;11;0.13
4;7;2;12;0.13
4;7;2;13;0.03
4;7;2;14;0.03
4;7;2;15;0.03
4;7;2;16;0.03
4;7;2;17;0.03
4;7;2;18;0.03
4;7;2;19;0.18
4;7;2;20;0.18
4;7;2;21;0.18
4;7;2;22;0.15
4;7;2;23;0.15
4;7;2;24;0.15
4;7;2;25;0.17
4;7;2;26;0.17
4;7;2;27;0.17
4;7;2;28;0.18
4;7;2;29;0.18
4;7;2;30;0.18
4;7;2;31;0.18
4;7;2;32;0.18
4;7;2;33;0.18
5;2;2;13;0.67
5;2;2;14;0.67
5;2;2;15;0.67
5;2;2;16;0.67
5;2;2;17;0.67
5;2;2;18;0.67
5;2;2;19;0.67
5;2;2;20;0.67
5;2;2;21;0.67
5;2;2;28;0.50
5;2;2;29;0.50
5;2;2;30;0.50
5;2;2;31;0.33
5;2;2;32;0.33
5;2;2;33;0.33
5;7;2;7;0.34
5;7;2;8;0.34
5;7;2;9;0.34
5;7;2;10;0.33
5;7;2;11;0.33
