IDRebaño;Especie;Raza;Categoria;t;cc
1;1;1;1;16;2.50
1;1;1;2;1;2.50
1;1;1;3;1;2.50
1;1;1;4;1;2.50
2;2;7;2;7;2.50
2;2;7;3;7;2.50
3;2;1;1;13;2.50
3;2;1;2;7;2.50
3;2;7;1;7;2.50
3;2;7;2;7;2.50
3;2;7;3;7;2.50
4;2;1;4;7;2.50
4;2;7;1;7;2.50
4;2;7;2;7;2.50
4;2;7;3;10;2.50
4;2;7;4;7;2.50
5;2;2;1;22;2.50
5;2;2;2;7;2.50
5;2;2;4;7;2.50
5;2;7;1;7;2.50
5;2;7;2;7;2.50
5;2;7;3;7;2.50
6;2;7;1;13;2.50
6;2;7;2;7;2.50
7;1;1;1;16;2.50
7;1;1;2;1;2.50
7;1;1;3;1;2.50
7;1;1;4;1;2.50
8;2;4;4;7;2.50
8;2;7;1;7;2.50
8;2;7;2;7;2.50
9;2;7;2;7;2.50
9;2;7;3;7;2.50
10;2;7;1;7;2.50
10;2;7;2;7;2.50
10;2;7;3;7;2.50
11;2;7;1;7;2.50
11;2;7;2;7;2.50
11;2;7;3;7;2.50
11;2;7;4;7;2.50
12;2;4;3;7;2.50
12;2;4;4;22;2.50
12;2;7;1;7;2.50
12;2;7;2;7;2.50
12;2;7;3;7;2.50
13;2;7;1;13;2.50
13;2;7;2;7;2.50
13;2;7;3;7;2.50
14;2;7;2;7;2.50
14;2;7;3;7;2.50
15;2;7;2;7;2.50
15;2;7;3;7;2.50
16;2;2;1;19;2.50
16;2;2;2;7;2.50
16;2;2;3;7;2.50
16;2;2;4;7;2.50
16;2;7;1;7;2.50
16;2;7;2;7;2.50
16;2;7;3;31;2.50
17;2;2;2;7;2.50
17;2;2;3;7;2.50
17;2;2;4;7;2.50
17;2;7;1;7;2.50
17;2;7;2;7;2.50
17;2;7;3;7;2.50
18;1;1;1;16;2.50
18;1;1;2;1;2.50
18;1;1;3;1;2.50
18;1;1;4;1;2.50
19;2;1;2;7;2.50
19;2;7;1;7;2.50
19;2;7;2;7;2.50
19;2;7;3;7;2.50
19;2;7;4;7;2.50
20;2;2;4;7;2.50
20;2;7;1;22;2.50
20;2;7;2;7;2.50
20;2;7;3;7;2.50
20;2;7;4;22;2.50
21;1;1;1;16;2.50
21;1;1;2;1;2.50
21;1;1;3;1;2.50
21;1;1;4;1;2.50
22;2;1;1;7;2.50
22;2;1;2;7;2.50
22;2;1;3;7;2.50
22;2;3;1;7;2.50
22;2;3;2;7;2.50
22;2;3;3;7;2.50
22;2;3;4;13;2.50
22;2;7;1;7;2.50
22;2;7;2;7;2.50
22;2;7;3;7;2.50
23;1;1;1;16;2.50
23;1;1;2;1;2.50
23;1;1;3;1;2.50
23;1;1;4;1;2.50
24;2;2;4;7;2.50
24;2;7;1;10;2.50
24;2;7;2;7;2.50
24;2;7;3;7;2.50
25;2;2;4;7;2.50
25;2;7;1;10;2.50
25;2;7;2;7;2.50
25;2;7;3;7;2.50
26;1;1;1;16;2.50
26;1;1;2;1;2.50
26;1;1;3;1;2.50
26;1;1;4;1;2.50
27;1;1;1;16;2.50
27;1;1;2;1;2.50
27;1;1;3;1;2.50
27;1;1;4;1;2.50
28;1;1;1;16;2.50
28;1;1;2;1;2.50
28;1;1;3;1;2.50
28;1;1;4;1;2.50
29;1;1;1;16;2.50
29;1;1;2;1;2.50
29;1;1;3;1;2.50
30;1;1;2;1;2.50
30;1;1;3;1;2.50
31;1;1;1;16;2.50
31;1;1;2;1;2.50
31;1;1;3;1;2.50
31;1;1;4;1;2.50
32;1;1;1;16;2.50
32;1;1;2;1;2.50
32;1;1;3;1;2.50
32;1;1;4;1;2.50
33;1;1;1;16;2.50
33;1;1;2;1;2.50
33;1;1;3;1;2.50
33;1;1;4;1;2.50
34;1;1;2;1;2.50
34;1;1;3;1;2.50
35;1;1;1;16;2.50
35;1;1;2;1;2.50
35;1;1;3;1;2.50
240;2;2;4;28;2.50
240;2;7;2;28;2.50
240;2;7;3;28;2.50
