IDRebaño;t;UP
1;1;8
1;1;13
1;1;16
1;2;8
1;2;13
1;2;16
1;3;8
1;3;13
1;3;16
1;4;8
1;4;13
1;4;16
1;5;8
1;5;13
1;5;16
1;6;8
1;6;13
1;6;16
1;7;8
1;7;13
1;7;16
1;8;8
1;8;13
1;8;16
1;9;8
1;9;13
1;9;16
1;10;8
1;10;13
1;10;16
1;11;8
1;11;13
1;11;16
1;12;8
1;12;13
1;12;16
1;13;13
1;13;16
1;13;17
1;14;13
1;14;16
1;14;17
1;15;13
1;15;16
1;15;17
1;16;13
1;16;16
1;16;17
1;17;13
1;17;16
1;17;17
1;18;13
1;18;16
1;18;17
1;19;13
1;19;16
1;19;17
1;20;13
1;20;16
1;20;17
1;21;13
1;21;16
1;21;17
1;22;13
1;22;16
1;22;17
1;23;13
1;23;16
1;23;17
1;24;13
1;24;16
1;24;17
1;25;13
1;25;16
1;25;17
1;26;13
1;26;16
1;26;17
1;27;13
1;27;16
1;27;17
1;28;8
1;28;13
1;28;16
1;29;8
1;29;13
1;29;16
1;30;8
1;30;13
1;30;16
1;31;8
1;31;13
1;31;16
1;32;8
1;32;13
1;32;16
1;33;8
1;33;13
1;33;16
1;34;8
1;34;13
1;34;16
1;35;8
1;35;13
1;35;16
1;36;8
1;36;13
1;36;16
2;7;7
2;8;7
2;9;7
2;10;8
2;11;8
2;12;8
2;13;13
2;13;16
2;13;17
2;14;13
2;14;16
2;14;17
2;15;13
2;15;16
2;15;17
2;16;13
2;16;16
2;16;17
2;17;13
2;17;16
2;17;17
2;18;13
2;18;16
2;18;17
2;19;13
2;19;16
2;19;17
2;20;13
2;20;16
2;20;17
2;21;13
2;21;16
2;21;17
2;22;13
2;22;16
2;22;17
2;23;13
2;23;16
2;23;17
2;24;13
2;24;16
2;24;17
2;25;7
2;26;7
2;27;7
2;28;7
2;29;7
2;30;7
2;31;7
2;32;7
2;33;7
3;7;8
3;8;8
3;9;8
3;10;9
3;10;11
3;10;14
3;11;9
3;11;11
3;11;14
3;12;9
3;12;11
3;12;14
3;13;13
3;13;16
3;13;17
3;14;13
3;14;16
3;14;17
3;15;13
3;15;16
3;15;17
3;16;13
3;16;16
3;16;17
3;17;13
3;17;16
3;17;17
3;18;13
3;18;16
3;18;17
3;19;13
3;19;16
3;19;17
3;20;13
3;20;16
3;20;17
3;21;13
3;21;16
3;21;17
3;22;13
3;22;16
3;22;17
3;23;13
3;23;16
3;23;17
3;24;13
3;24;16
3;24;17
3;25;13
3;25;16
3;25;17
3;26;13
3;26;16
3;26;17
3;27;13
3;27;16
3;27;17
3;28;8
3;29;8
3;30;8
3;31;8
3;32;8
3;33;8
4;7;9
4;8;9
4;9;9
4;10;9
4;10;11
4;10;14
4;11;9
4;11;11
4;11;14
4;12;9
4;12;11
4;12;14
4;13;13
4;13;16
4;13;17
4;14;13
4;14;16
4;14;17
4;15;13
4;15;16
4;15;17
4;16;13
4;16;16
4;16;17
4;17;13
4;17;16
4;17;17
4;18;13
4;18;16
4;18;17
4;19;13
4;19;16
4;19;17
4;20;13
4;20;16
4;20;17
4;21;13
4;21;16
4;21;17
4;22;13
4;22;16
4;22;17
4;23;13
4;23;16
4;23;17
4;24;13
4;24;16
4;24;17
4;25;8
4;26;8
4;27;8
4;28;8
4;29;8
4;30;8
4;31;8
4;32;8
4;33;8
5;7;12
5;8;12
5;9;12
5;10;12
5;11;12
5;12;12
5;13;13
5;13;16
5;13;17
5;14;13
5;14;16
5;14;17
5;15;13
5;15;16
5;15;17
5;16;13
5;16;16
5;16;17
5;17;13
5;17;16
5;17;17
5;18;13
5;18;16
5;18;17
5;19;13
5;19;16
5;19;17
5;20;13
5;20;16
5;20;17
5;21;13
5;21;16
5;21;17
5;22;13
5;22;16
5;22;17
5;23;13
5;23;16
5;23;17
5;24;13
5;24;16
5;24;17
5;25;12
5;26;12
5;27;12
5;28;12
5;29;12
5;30;12
