IDMancha;has;cob;pend;UP;inc;prmen35
9;16.46;70.00;52.96;32;1;0.11
13;13.33;85.00;81.08;15;1;0.33
15;68.92;100.00;33.47;27;1;0.56
21;54.36;95.00;47.83;14;1;0.23
22;107.91;100.00;65.91;26;1;0.11
26;13.91;100.00;42.75;14;1;0.07
27;8.24;100.00;63.61;14;1;0.05
28;15.31;95.00;62.62;15;1;0.33
29;149.62;100.00;35.53;12;1;0.53
31;29.76;90.00;34.41;68;1;0.49
32;5.56;100.00;52.50;32;1;0.19
50;19.90;100.00;26.16;25;1;0.91
51;18.12;90.00;53.14;23;1;0.48
58;99.44;100.00;43.88;26;1;0.42
61;63.46;100.00;44.34;35;1;0.50
63;9.71;100.00;60.86;35;1;0.10
65;53.49;95.00;78.41;28;1;0.37
74;45.94;100.00;33.36;25;1;0.59
77;92.24;100.00;40.47;24;1;0.41
78;21.81;100.00;28.11;25;1;0.57
79;32.60;100.00;36.07;25;1;0.38
80;116.48;100.00;35.00;35;1;0.45
81;19.38;95.00;38.14;32;1;0.18
84;5.55;95.00;63.46;35;1;0.04
89;6.39;80.00;66.21;67;1;0.05
91;40.24;95.00;54.90;31;1;0.67
92;13.47;100.00;63.16;29;1;0.01
93;27.32;100.00;35.90;30;1;0.48
94;51.82;95.00;76.36;28;1;0.02
96;17.21;100.00;39.51;31;1;0.14
97;212.78;100.00;58.92;29;1;0.07
101;11.70;80.00;64.52;36;1;0.22
115;16.87;100.00;25.20;32;1;0.52
118;21.19;70.00;62.25;31;1;0.31
120;36.28;60.00;42.46;20;1;0.21
121;51.81;100.00;31.51;19;1;0.74
122;8.21;85.00;24.92;17;1;0.96
123;23.66;90.00;33.04;17;1;0.35
130;12.83;100.00;30.38;21;1;0.26
138;35.72;100.00;39.02;8;1;0.05
143;58.31;95.00;51.60;6;1;0.07
145;14.49;95.00;43.67;21;1;0.18
149;120.30;100.00;50.82;13;1;0.19
151;15.41;90.00;68.90;13;1;0.20
152;82.67;100.00;42.38;9;1;0.43
154;13.46;95.00;58.52;13;1;0.15
157;3.08;100.00;18.19;6;1;0.00
162;2.39;100.00;22.30;16;1;0.44
163;15.25;100.00;22.29;16;1;0.36
164;24.74;100.00;58.26;13;1;0.13
166;36.06;100.00;50.12;13;1;0.20
167;38.24;95.00;51.04;15;1;0.16
168;12.45;85.00;65.90;18;1;0.45
172;14.10;100.00;53.12;21;1;0.15
174;31.29;100.00;53.09;21;1;0.07
176;45.40;100.00;44.19;21;1;0.29
179;40.31;95.00;46.28;23;1;0.24
181;22.90;95.00;50.77;21;1;0.17
186;63.00;100.00;24.48;11;1;0.62
187;27.65;100.00;30.39;11;1;0.40
188;26.89;95.00;49.68;11;1;0.34
189;17.63;95.00;26.10;23;1;0.78
190;8.24;100.00;47.83;23;1;0.54
191;83.21;100.00;50.20;24;1;0.20
193;21.43;100.00;34.41;23;1;0.61
195;66.68;75.00;51.28;22;1;0.20
199;65.17;100.00;51.93;22;1;2.87690360528467e-03
201;6.18;95.00;33.21;18;1;0.04
204;4.32;100.00;36.46;31;1;0.00
209;20.73;100.00;66.71;51;1;0.10
222;26.51;95.00;53.20;49;1;0.25
225;3.47;100.00;41.98;47;1;0.64
226;2.77;100.00;29.09;49;1;0.00
229;5.20;100.00;34.33;44;1;0.66
234;9.31;100.00;53.79;66;1;0.16
235;10.63;60.00;44.61;44;1;0.01
236;9.38;100.00;40.98;46;1;0.13
237;8.43;100.00;62.36;44;1;0.35
238;4.09;100.00;31.00;44;1;0.24
239;12.16;95.00;56.52;44;1;0.45
242;11.02;100.00;61.42;44;1;0.06
243;5.61;100.00;50.64;67;1;0.07
245;17.37;100.00;44.15;42;1;0.31
246;57.13;90.00;55.50;44;1;0.11
247;4.74;95.00;30.56;46;1;0.13
248;17.15;100.00;46.77;46;1;0.21
249;7.35;100.00;43.05;46;1;0.46
252;18.18;90.00;57.24;47;1;0.13
254;21.67;100.00;53.13;47;1;0.08
255;11.76;100.00;35.51;49;1;0.33
259;3.41;95.00;23.76;47;1;0.00
260;24.04;100.00;55.64;47;1;0.12
262;8.91;80.00;68.43;42;1;0.26
276;51.54;100.00;52.88;42;1;0.12
277;20.76;95.00;47.63;47;1;0.30
278;12.96;100.00;50.67;42;1;0.05
283;35.92;100.00;60.39;50;1;0.13
285;6.09;100.00;23.70;62;1;0.56
286;14.74;100.00;48.59;3;1;0.01
287;5.95;100.00;14.86;57;1;0.45
290;14.50;100.00;42.00;2;1;0.07
291;25.02;100.00;34.06;7;1;0.22
292;96.05;100.00;58.17;5;1;0.19
294;4.19;100.00;20.80;5;1;0.05
296;10.36;100.00;65.60;1;1;0.00
300;17.32;90.00;70.62;3;1;0.03
301;2.22;100.00;31.74;1;1;0.00
304;45.89;100.00;45.86;54;1;0.43
305;7.87;100.00;60.29;4;1;0.55
306;10.63;100.00;57.57;6;1;0.31
307;13.62;100.00;52.95;5;1;0.27
308;2.53;100.00;39.07;5;1;0.14
311;19.47;100.00;67.13;6;1;0.29
312;27.34;100.00;65.59;6;1;0.01
314;12.64;100.00;23.00;1;1;0.48
317;75.63;95.00;33.39;53;1;0.49
322;9.08;95.00;62.45;4;1;0.17
326;9.27;100.00;52.71;6;1;6.73502586502973e-03
