IDMancha;com;cobv
9;3;5.00
9;9;40.00
9;16;55.00
13;3;5.00
13;5;5.00
13;9;20.00
13;10;60.00
13;16;10.00
15;5;5.00
15;6;5.00
15;37;85.00
15;39;5.00
21;3;35.00
21;6;5.00
21;9;20.00
21;10;10.00
21;16;30.00
21;21;10.00
22;30;100.00
26;21;80.00
26;23;10.00
26;25;5.00
26;28;5.00
27;1;10.00
27;9;40.00
27;17;15.00
27;23;5.00
27;28;30.00
28;1;5.00
28;3;15.00
28;9;20.00
28;21;25.00
28;23;5.00
28;28;30.00
29;1;5.00
29;5;10.00
29;7;20.00
29;9;5.00
29;21;5.00
29;28;5.00
29;37;50.00
31;7;90.00
31;39;10.00
32;5;65.00
32;6;10.00
32;13;20.00
32;39;5.00
50;1;15.00
50;4;5.00
50;7;10.00
50;9;10.00
50;15;5.00
50;18;45.00
50;28;10.00
51;1;20.00
51;8;30.00
51;9;10.00
51;21;10.00
51;28;30.00
58;1;10.00
58;8;5.00
58;9;35.00
58;21;15.00
58;28;30.00
58;29;5.00
61;3;30.00
61;5;5.00
61;6;5.00
61;7;30.00
61;9;10.00
61;16;10.00
61;37;10.00
63;23;100.00
65;3;5.00
65;8;20.00
65;21;20.00
65;28;50.00
65;32;5.00
74;4;10.00
74;9;25.00
74;15;20.00
74;17;15.00
74;18;10.00
74;28;10.00
74;29;10.00
77;1;10.00
77;4;5.00
77;9;25.00
77;14;10.00
77;18;10.00
77;28;30.00
77;29;10.00
78;4;5.00
78;9;10.00
78;14;10.00
78;15;20.00
78;18;30.00
78;21;10.00
78;28;10.00
78;29;5.00
79;6;5.00
79;7;30.00
79;9;5.00
79;13;5.00
79;21;45.00
79;28;10.00
80;3;25.00
80;7;20.00
80;9;10.00
80;16;10.00
80;20;5.00
80;21;10.00
80;40;20.00
81;3;20.00
81;9;20.00
81;16;20.00
81;21;15.00
81;28;25.00
84;3;10.00
84;9;30.00
84;16;40.00
84;23;20.00
89;3;15.00
89;6;5.00
89;10;35.00
89;16;40.00
89;39;5.00
91;3;10.00
91;7;5.00
91;9;30.00
91;10;5.00
91;16;30.00
91;21;10.00
91;25;10.00
91;28;5.00
92;21;85.00
92;28;15.00
93;5;5.00
93;25;5.00
93;37;90.00
94;3;10.00
94;8;5.00
94;21;70.00
94;23;5.00
94;28;10.00
96;5;25.00
96;6;20.00
96;7;5.00
96;9;10.00
96;13;10.00
96;15;5.00
96;21;15.00
96;25;5.00
96;27;5.00
97;1;20.00
97;8;5.00
97;9;35.00
97;17;10.00
97;28;30.00
101;3;15.00
101;9;10.00
101;10;5.00
101;11;60.00
101;12;10.00
115;6;5.00
115;7;60.00
115;13;5.00
115;21;10.00
115;25;10.00
115;27;10.00
118;3;5.00
118;6;5.00
118;9;30.00
118;16;60.00
120;3;5.00
120;9;30.00
120;10;10.00
120;13;5.00
120;16;50.00
121;7;90.00
121;27;10.00
122;6;5.00
122;9;5.00
122;16;90.00
123;9;30.00
123;16;70.00
130;9;10.00
130;16;10.00
130;18;80.00
138;5;5.00
138;6;5.00
138;7;20.00
138;21;10.00
138;37;40.00
143;1;30.00
143;9;40.00
143;28;30.00
145;1;50.00
145;4;20.00
145;9;10.00
145;18;10.00
145;28;10.00
149;23;15.00
149;24;15.00
149;30;70.00
151;3;30.00
151;9;20.00
151;10;20.00
151;16;10.00
151;23;5.00
151;24;5.00
151;28;10.00
152;3;20.00
152;5;10.00
152;6;10.00
152;9;10.00
152;16;10.00
152;37;40.00
154;3;20.00
154;9;10.00
154;10;5.00
154;13;5.00
154;17;30.00
154;21;10.00
154;23;5.00
154;28;15.00
157;1;30.00
157;4;5.00
157;9;25.00
157;14;20.00
157;28;20.00
162;7;70.00
162;9;10.00
162;27;10.00
162;28;10.00
163;6;5.00
163;9;5.00
163;14;80.00
163;27;5.00
163;28;5.00
164;1;5.00
164;3;5.00
164;9;15.00
164;13;5.00
164;17;5.00
164;21;10.00
164;23;35.00
164;28;20.00
166;1;20.00
166;9;20.00
166;28;60.00
167;3;20.00
167;6;5.00
167;7;40.00
167;9;5.00
167;10;5.00
167;16;20.00
167;25;5.00
168;3;10.00
168;9;25.00
168;10;10.00
168;13;5.00
168;16;50.00
172;9;5.00
172;14;10.00
172;25;5.00
172;28;80.00
174;8;20.00
174;9;25.00
174;18;20.00
174;21;10.00
174;28;10.00
174;29;5.00
174;32;10.00
176;2;5.00
176;8;60.00
176;9;10.00
176;18;10.00
176;32;15.00
