IDMancha;com;accion;t;Nestie
15;37;1;17;
15;37;2;8;3.00
29;37;1;21;
29;37;2;8;3.00
61;37;1;21;
61;37;2;8;3.00
80;40;1;24;
80;40;2;8;0.00
93;37;1;17;
93;37;2;8;3.00
138;37;1;21;
138;37;2;8;3.00
152;37;1;21;
152;37;2;8;3.00
186;40;1;24;
186;40;2;8;0.00
187;40;1;24;
187;40;2;8;0.00
285;37;1;17;
285;37;2;8;3.00
287;37;1;21;
287;37;2;8;3.00
291;37;1;21;
291;37;2;8;3.00
317;37;1;17;
317;37;2;8;3.00
344;37;1;17;
344;37;2;8;3.00
411;37;1;21;
411;37;2;8;3.00
412;37;1;21;
412;37;2;8;3.00
413;37;1;21;
413;37;2;8;3.00
414;37;1;21;
414;37;2;8;3.00
415;37;1;21;
415;37;2;8;3.00
416;37;1;21;
416;37;2;8;3.00
417;37;1;21;
417;37;2;8;3.00
421;37;1;21;
421;37;2;8;3.00
423;37;1;21;
423;37;2;8;3.00
424;37;1;21;
424;37;2;8;3.00
427;37;1;21;
427;37;2;8;3.00
432;37;1;21;
432;37;2;8;3.00
433;37;1;21;
433;37;2;8;3.00
435;37;1;21;
435;37;2;8;3.00
440;37;1;21;
440;37;2;8;3.00
450;37;1;21;
450;37;2;8;3.00
